476797,1
478082,3
478082,1
478082,3
476797,3
478082,2
476797,1
476797,1
477038,2
478082,1
476797,1
478082,2
476797,1
476797,1
478082,1
476797,1
476797,2
476797,1
476797,1
476797,1
478084,7
476797,1
478084,2
476797,2
476797,1
478084,1
476797,1
477038,1
478082,1
478084,3
476797,2
478084,2
478082,2
476797,1
478084,5
476797,1
478084,4
478084,1
478084,3
478084,2
478084,1
478084,2
478084,1
476797,1
478084,1
476797,1
478084,2
478084,1
478084,1
478084,2
476797,1
478084,1
476797,1
478084,1
478084,8
476797,1
478084,3
478084,2
478084,1
478084,1
478084,1
478084,4
478084,1
478084,2
478084,1
478084,1
478084,1
478084,1
476797,1
478084,6
478084,2
476797,2
478084,1
478552,4
478552,1
478569,2
478553,1
478553,1
478560,2
478551,1
478568,4
478569,2
478552,1
478560,16
478560,8
478569,2
478553,1
478569,1
478560,6
478560,3
478569,1
478552,1
478569,2
478579,1
478553,1
478567,13
478579,2
478568,16
478579,3
478560,5
478579,2
478579,1
478553,1
478579,1
478569,2
478553,1
478551,1
478568,10
478568,6
478561,6
478553,1
478560,3
478551,1
478568,3
478569,1
478579,2
478579,2
478551,2
478568,3
478560,6
478568,3
478560,3
478551,2
478568,4
478569,3
478568,5
478569,6
478561,3
478569,1
478579,2
478561,5
478561,1
478568,3
478568,6
478554,1
478561,1
478569,11
478554,2
478580,1
478555,1
478568,1
477319,2
476888,1
478569,43
478561,1
478553,3
478561,1
476888,1
477319,2
477316,1
478568,1
478568,1
477319,2
478580,4
478561,1
478561,1
478568,2
478580,2
477320,1
477317,24
477315,1
478569,3
477319,2
477315,3
478561,3
477321,1
478561,1
478581,4
478581,1
478556,4
478568,3
477315,1
477999,2
478554,1
478568,2
478581,3
478561,1
478572,24
478569,1
477317,1
477999,1
478562,1
478554,1
478561,2
478581,3
477317,3
478556,4
478561,1
477999,1
477316,2
478581,1
478564,1
478568,3
477315,1
477140,6
477318,2
478568,1
478555,3
478574,4
477315,4
477317,1
478581,4
478555,1
477319,2
477316,1
478564,3
478580,1
477998,2
477134,8
478556,4
478559,1
478562,6
478569,1
477315,1
477140,6
478581,1
478581,1
477140,6
478569,5
477998,1
478568,5
478564,6
478573,18
477317,3
478582,2
478564,2
478581,2
477997,1
478555,3
477997,1
477140,6
478561,4
478565,6
476888,1
477997,4
478581,2
478580,2
478581,1
478581,2
477140,6
477999,1
476887,1
478574,1
478562,6
478337,4
476888,1
477317,3
477999,1
478564,1
478555,20
478559,3
476887,2
478565,7
478570,9
478582,1
477315,1
477140,8
477140,8
477999,1
477997,1
477997,1
478570,3
477999,1
478556,4
478547,1
477134,6
478564,6
478576,1
478564,1
478582,2
477134,12
477997,1
477140,6
478564,1
478571,2
478559,3
478559,1
478564,2
478565,2
478547,1
477140,8
478565,9
477134,4
478576,4
478547,1
478565,1
477134,4
477997,2
477583,2
477134,6
478335,4
478565,1
478334,2
478559,3
477997,2
478337,1
478576,1
478565,2
476930,1
478559,2
478564,5
478582,6
478336,10
478336,3
477140,4
478582,4
477140,4
478557,8
478565,2
478559,2
478564,8
478559,1
478576,1
478559,1
478565,1
478608,1
478547,1
477583,1
476930,1
478576,1
478583,7
478622,1
478564,5
478565,4
477997,1
477997,1
476930,1
476930,1
478565,1
476872,1
476872,1
476930,1
478333,2
476930,3
476872,1
478337,5
477997,2
478565,4
477997,4
478557,19
478605,2
476883,3
476872,1
476882,1
478603,1
478576,3
477133,6
476872,1
476872,1
476872,1
477997,1
476872,1
476872,2
478576,11
478605,1
476930,3
476883,2
478576,1
476882,2
478336,6
476928,2
477133,6
478613,1
476930,4
476928,1
477133,6
478343,1
476872,2
476930,1
476882,1
476928,2
476872,1
478583,1
476872,1
476872,2
478153,1
477133,4
478343,8
476930,1
476872,1
478576,4
476920,4
476930,1
478564,2
476872,1
478577,6
477133,12
477997,3
477997,1
478577,1
476872,2
476882,1
476923,3
478559,2
478556,2
478343,1
478602,3
476872,1
478153,1
476872,1
476930,1
476872,1
476882,2
476923,1
476922,2
476930,1
477133,4
476923,10
476928,1
478629,2
476924,3
476928,2
476882,2
476872,1
478153,1
478602,1
477133,8
476930,1
478576,2
478343,1
476920,1
478576,2
476928,2
476872,1
477133,4
476925,4
478604,2
476930,1
477124,3
476872,2
476929,3
476928,2
478343,1
476872,4
476929,1
476872,1
478576,1
476927,3
476930,1
476930,1
478343,1
476882,1
478577,1
